instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.318265,-77.774334,,,,﻿jam_gibbons_001,﻿Rt. Rev.,﻿James Gibbons,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.318265,-77.774334,,,,﻿mar_s_gross_001,﻿Rev.,﻿Mark S. Gross,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.318265,-77.774334,,,,﻿jam_a_corcoran_001,﻿Very Rev.,﻿James A. Corcoran,﻿D.D.,,"﻿is absent in Rome, having been appointed by the Prelates of the United States to represent them, as Theologian, at the approaching General Council.",,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0002,﻿church,[Unnamed Institution],English,,,,﻿Cumberland County,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,,35.052367,-78.878377,﻿ral.nc.0001,﻿Visited from Wilmington,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0003,﻿church,[Unnamed Institution],English,,,,﻿New-Hanover County,﻿Harnett County,﻿Lillington,﻿Lillington,﻿NC,,35.399327,-78.815853,﻿ral.nc.0001,﻿Visited from Wilmington,﻿at stated intervals,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0004,﻿church,﻿St. Paul's,English,,,,﻿Craven County,﻿Craven County,﻿New-Berne,﻿New Bern,﻿NC,,35.084562,-77.068022,,,,﻿har_p_northrop_001,﻿Rev.,﻿Harry P. Northrop,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0018,﻿church,﻿St. John the Baptist,English,,,,﻿Wake County,﻿Wake County,﻿Raleigh,﻿Raleigh,﻿NC,,35.590716,-78.600607,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0005,﻿church,﻿St. Ann's,English,,,,﻿Chowan County,﻿Chowan County,﻿Edenton,﻿Edenton,﻿NC,,36.062787,-76.608034,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0006,﻿church,[Unnamed Institution],English,﻿station,,,﻿Wayne County,﻿Wayne County,﻿Goldsboro,﻿Goldsboro,﻿NC,,35.384884,-77.992765,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0019,﻿church,[Unnamed Institution],English,﻿station,,,,,﻿Company Shops,﻿Burlington,﻿NC,,36.095987,-79.437177,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0020,﻿church,[Unnamed Institution],English,﻿station,,,,,﻿Greensboro,﻿Greensboro,﻿NC,,36.072635,-79.791975,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0007,﻿church,[Unnamed Institution],English,﻿station,,,﻿Wilson County,﻿Wilson County,﻿Wilson,﻿Wilson,﻿NC,,35.725829,-77.911124,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0008,﻿church,[Unnamed Institution],English,﻿station,,,﻿Combe County,﻿Edgecombe County,﻿Tarboro,﻿Tarboro,﻿NC,,35.896824,-77.535805,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0009,﻿church,[Unnamed Institution],English,﻿station,,,﻿Halifax County,﻿Halifax County,﻿Halifax,﻿Halifax,﻿NC,,36.328486,-77.58942,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0021,﻿church,[Unnamed Institution],English,﻿station,,,﻿Halifax County,﻿Halifax County,﻿Littleton,﻿Littleton,﻿NC,,36.434593,-77.911932,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0011,﻿church,﻿St. Peter's,English,,,,﻿Mecklenburg County,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,,35.167851,-80.728246,,,﻿Divine service first and last Sunday of each month,﻿law_p_oconnell_001,﻿Rev.,﻿Lawrence P. O'Connell,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0012,﻿church,﻿Church of the B.V.M. and St. Joseph,English,,,,﻿Gaston County,﻿Gaston County,﻿Gaston,﻿Gastonia,﻿NC,,35.262174,-81.187085,﻿ral.nc.0011,﻿Attended from Charlotte,,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0014,﻿church,[Unnamed Institution],English,﻿Church in course of erection,,,﻿Cabarrus County,﻿Cabarrus County,﻿Corcord,﻿Concord,﻿NC,,35.383333,-80.563056,﻿ral.nc.0011,﻿Attended from Charlotte,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0025,﻿church,[Unnamed Institution],English,,,,﻿Gaston County,﻿Gaston County,﻿Lonergan's Ferry,,﻿NC,,,,﻿ral.nc.0011,﻿Attended from Charlotte,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0015,﻿church,[Unnamed Institution],English,,,,﻿Rowan County,﻿Rowan County,﻿Salisbury,﻿Salisbury,﻿NC,,35.670973,-80.474226,﻿ral.nc.0011,﻿Attended from Charlotte,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0017,﻿church,[Unnamed Institution],English,,,,﻿Buncombe County,﻿Buncombe County,﻿Asheville,﻿Asheville,﻿NC,,35.595058,-82.551487,﻿ral.nc.0011,﻿Attended from Charlotte,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
